issue,terriss,riveriss,mariss,region,claim,dyads,begclaim,endclaim,duration,icowsal,icowsalc,salold,attemptsp,attemptst,attbilat,att3non,att3bind,midsiss,midsfat,warsiss,maxhost,maxfatal,version
1,1,0,0,1,80,2,190001,196108,57,6,2,6,15,17,4,7,4,2,0,0,4,0,1.1
1,1,0,0,1,81,1,199806,200199,4,5,2,4,0,1,0,0,0,1,0,0,4,0,1.1
1,1,0,0,1,82,1,192105,197209,52,4,1,3,3,3,3,0,0,0,0,0,0,0,1.1
1,1,0,0,1,84,2,190001,197102,36,7,2,6,4,4,4,0,0,0,0,0,0,0,1.1
1,1,0,0,1,85,1,190001,191606,17,6,2,7,4,4,4,0,0,0,0,0,0,0,1.1
1,1,0,0,1,86,1,192001,194105,22,6,2,6,5,6,3,2,0,1,0,0,4,0,1.1
1,1,0,0,1,88,1,192001,193806,19,4,1,4,2,2,0,2,0,0,0,0,0,0,1.1
1,1,0,0,1,90,3,190103,197910,80,7,2,7,18,18,18,0,0,0,0,0,0,0,1.1
1,1,0,0,1,100,1,184101,192203,82,8,3,8,18,19,15,0,3,1,0,0,4,0,1.1
1,1,0,0,1,102,1,195104,200199,51,7,2,6,16,19,15,1,0,3,0,0,4,0,1.1
1,1,0,0,1,104,1,185401,191907,66,6,2,6,11,12,10,1,0,1,0,0,4,0,1.1
1,1,0,0,1,106,2,183901,193509,88,8,3,8,16,23,11,5,0,7,2,0,4,3,1.1
1,1,0,0,1,108,1,183101,192811,98,6,2,6,7,7,6,1,0,0,0,0,0,0,1.1
1,1,0,0,1,110,1,185403,186605,13,4,1,3,2,4,1,0,1,2,0,0,4,0,1.1
1,1,0,0,1,112,3,184101,200199,111,7,2,8,33,42,25,7,1,9,0,0,4,0,1.1
1,1,0,0,1,114,1,185905,194202,84,5,2,3,2,3,2,0,0,1,0,0,4,0,1.1
1,1,0,0,1,116,1,184101,192807,88,4,1,6,5,5,5,0,0,0,0,0,0,0,1.1
1,1,0,0,1,118,1,185000,185604,7,2,1,1,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,120,3,181601,200199,188,6,2,6,17,19,15,2,0,2,0,0,4,0,1.1
1,1,0,0,1,122,1,183808,192604,89,2,1,3,9,12,8,0,1,3,0,0,4,0,1.1
1,1,0,0,1,124,2,184900,200199,154,5,2,5,7,7,6,0,1,0,0,0,0,0,1.1
1,1,0,0,1,126,1,185200,190605,55,1,1,3,2,2,2,0,0,0,0,0,0,0,1.1
1,1,0,0,1,128,2,181601,190012,82,5,2,5,5,7,4,0,1,2,0,0,4,0,1.1
1,1,0,0,1,130,2,185401,199810,144,10,3,10,27,56,13,11,3,29,11,0,4,5,1.1
1,1,0,0,1,131,2,185409,190601,17,6,2,5,5,5,5,0,0,0,0,0,0,0,1.1
1,1,0,0,1,132,2,185401,192203,70,4,1,6,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,134,1,186404,186605,3,5,2,3,0,2,0,0,0,2,1,1,5,5,1.1
1,1,0,0,1,136,3,183901,191205,198,8,3,8,26,31,24,1,1,5,2,0,4,2,1.1
1,1,0,0,1,144,2,184601,192910,85,8,3,8,5,11,5,0,0,6,1,1,5,6,1.1
1,1,0,0,1,146,1,184101,189510,55,6,2,6,9,10,8,0,1,1,0,0,3,0,1.1
1,1,0,0,1,148,1,188201,200199,120,4,1,4,4,4,4,0,0,0,0,0,0,0,1.1
1,1,0,0,1,150,1,182601,189612,71,2,1,1,2,3,1,1,0,1,0,0,4,0,1.1
1,1,0,0,1,152,1,187812,193810,61,10,3,10,33,52,12,20,1,19,4,1,5,6,1.1
1,1,0,0,1,154,5,184801,200199,261,10,3,10,76,88,54,21,1,12,2,2,5,6,1.1
1,1,0,0,1,156,2,184801,194102,103,5,2,6,14,16,13,0,1,2,0,0,3,0,1.1
1,1,0,0,1,158,1,184601,187811,33,6,2,6,6,7,3,2,1,1,1,1,5,6,1.1
1,1,0,0,1,160,1,184101,190301,63,10,3,10,12,20,9,2,1,8,0,0,4,0,1.1
1,1,0,0,1,164,1,190401,198505,82,6,2,6,22,41,17,4,1,19,1,0,4,1,1.1
1,1,0,0,1,166,1,190301,199812,96,6,2,6,10,10,7,0,3,0,0,0,0,0,1.1
1,1,0,0,1,168,1,188201,197312,92,7,2,8,10,13,10,0,0,3,0,0,4,0,1.1
1,1,0,0,1,170,1,184101,200199,161,8,3,6,55,59,35,20,0,4,1,1,5,6,1.1
1,1,0,0,2,200,1,192212,199805,77,8,3,9,37,37,35,2,0,0,0,0,0,0,1.1
1,1,0,0,2,202,1,192704,193804,12,6,2,7,5,5,5,0,0,0,0,0,0,0,1.1
1,1,0,0,2,204,1,188612,195311,68,6,2,4,6,6,5,0,1,0,0,0,0,0,1.1
1,1,0,0,2,206,1,181601,200199,186,7,2,7,29,32,28,1,0,3,0,0,4,0,1.1
1,1,0,0,2,208,2,183012,192008,13,11,3,11,13,15,0,13,0,2,0,0,4,0,1.1
1,1,0,0,2,210,2,192210,195906,34,6,2,6,6,6,5,0,1,0,0,0,0,0,1.1
1,1,0,0,2,212,1,195505,196302,9,8,3,8,2,2,2,0,0,0,0,0,0,0,1.1
1,1,0,0,2,214,1,186608,186704,2,10,3,10,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,2,216,1,184101,191906,79,8,3,8,6,6,5,1,0,0,0,0,0,0,1.1
1,1,0,0,2,218,2,191706,194005,25,11,3,11,5,5,3,2,0,0,0,0,0,0,1.1
1,1,0,0,2,220,2,183012,186705,12,9,3,9,12,12,0,12,0,0,0,0,0,0,1.1
1,1,0,0,2,222,1,181601,186212,47,6,2,6,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,2,224,2,187009,191906,47,12,3,12,6,9,2,4,0,3,2,2,5,6,1.1
1,1,0,0,2,226,6,184911,195701,92,11,3,11,17,18,10,7,0,1,0,0,2,0,1.1
1,1,0,0,2,228,1,181601,181603,1,7,2,8,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,2,230,4,184803,194307,22,10,3,10,3,3,2,1,0,0,0,0,0,0,1.1
1,1,0,0,2,232,1,193811,194307,6,10,3,8,1,1,0,1,0,0,0,0,0,0,1.1
1,1,0,0,2,234,1,194504,194702,3,11,3,12,2,2,1,1,0,0,0,0,0,0,1.1
1,1,0,0,2,236,1,184803,185705,10,6,2,6,3,4,0,3,0,1,0,0,3,0,1.1
1,1,0,0,2,238,1,186607,186608,1,7,2,7,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,2,240,3,181601,187010,23,8,3,8,9,9,3,6,0,0,0,0,0,0,1.1
1,1,0,0,2,242,1,181601,181604,1,10,3,10,1,1,1,0,0,0,0,0,0,0,1.1
